Region_of_Incident,Cause_of_Death,CausesOfDeathPerRegion
Central America,Hit by train,"Vehicle Accident,Fell from train,Hit by train,Injuries,Murder,Violence,Struck by train,Shot,Drowning,Fall from train,Suicide,Stabbed,Sickness and lack of access to medicines,Cardiac arrest,Tortured,Murdered,Heart attack,Hanging,Pneumonia,Dehydration,Hit by car,Unknown(decomposed remains),Train Accident,Electrocution on railway,Crushed by stones(train),Excessive Physical Abuse, Rape,Asphyxiation,Cervical cancer,Respiratory illness,Pulmonary edema and renal insufficiency,Poison,Murdered,Unknown(found dead next to train tracks),Unknown(skeletal remains),Hyperthermia,Digestive bleeding,Injuries from boat motor,Fall from boat"
US-Mexico Border,Drowning,"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
Southeast Asia,Drowning,"Vehicle Accident,Drowning,Killed by landmine blast,Sickness and lack of access to medicines,Starvation,Dehydration,Excessive Physical Abuse,Sexual abuse,Harsh weather/lack of adequate shelter,Suffocation,Fall,Exhaustion,Violence,Shot"
Central America,Injuries,"Vehicle Accident,Fell from train,Hit by train,Injuries,Murder,Violence,Struck by train,Shot,Drowning,Fall from train,Suicide,Stabbed,Sickness and lack of access to medicines,Cardiac arrest,Tortured,Murdered,Heart attack,Hanging,Pneumonia,Dehydration,Hit by car,Unknown(decomposed remains),Train Accident,Electrocution on railway,Crushed by stones(train),Excessive Physical Abuse, Rape,Asphyxiation,Cervical cancer,Respiratory illness,Pulmonary edema and renal insufficiency,Poison,Murdered,Unknown(found dead next to train tracks),Unknown(skeletal remains),Hyperthermia,Digestive bleeding,Injuries from boat motor,Fall from boat"
US-Mexico Border,Sickness and lack of access to medicines,"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
US-Mexico Border,Drowning,"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
Europe,Hit by train,"Shot,Suffocation,Vehicle accident,Exposure,Unknown(decomposed remains),Hit by train,Plane stowaway,Fall into a mountain crevice,Drowning,Hit by vehicle,Electrocution on railway,Hypothermia,Head injury,Violence,Fell from truck,Burned,Fall from vehicle,Fire,Sickness and lack of access to medicines,Murdered,Exhaustion,Rockslide,Crushed by bus,Hit by truck,Asphyxiation,Crushed in back of truck,Fall,Hypoglycemia,Train Accident,Electrocution,Fall from train,Suicide,Hit by car,Accident(non-vehicle),Crushed,Organ failure,Cardiac arrest,Fall onto train tracks,Harsh conditions,Hyperthermia"
Central America,Murder,"Vehicle Accident,Fell from train,Hit by train,Injuries,Murder,Violence,Struck by train,Shot,Drowning,Fall from train,Suicide,Stabbed,Sickness and lack of access to medicines,Cardiac arrest,Tortured,Murdered,Heart attack,Hanging,Pneumonia,Dehydration,Hit by car,Unknown(decomposed remains),Train Accident,Electrocution on railway,Crushed by stones(train),Excessive Physical Abuse, Rape,Asphyxiation,Cervical cancer,Respiratory illness,Pulmonary edema and renal insufficiency,Poison,Murdered,Unknown(found dead next to train tracks),Unknown(skeletal remains),Hyperthermia,Digestive bleeding,Injuries from boat motor,Fall from boat"
Sub-Saharan Africa,Vehicle  accident,"Shot,Vehicle accident,Drowning,Sickness and lack of access to medicine,Thirst,Unknown(mummified remains),Dehydration,Starvation,Suffocation,Harsh weather/lack of adequate shelter,Stabbed,Sexual abuse,Excessive Physical Abuse,Malnutrition,Violence while attempting to board boat,Killed by hippoptamus,Post-partum complications,Exposure"
US-Mexico Border,Drowning,"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
US-Mexico Border,Shot,"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
Caribbean,Drowning,"Drowning,Vehicle Accident,Shot,Dehydration,Hit by truck,Unknown(found on dinghy),Murdered,Rape"
Mediterranean,Drowning,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
Mediterranean,Presumed drowning,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
Mediterranean,Presumed drowning,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
Mediterranean,Drowning,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
Mediterranean,Drowning,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
South America,Vehicle  accident,"Sickness,Drowning,Vehicle Accident,Suicide,Fell from truck,Hit by truck,Pneumonia,Malnutrition,Dehydration,Cardiac arrest,Hypothermia,Plane stowaway,Violence,Rape,Pulmonary edema and renal insufficiency,Killed by landmine blast"
Mediterranean,Shot,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
US-Mexico Border,Suicide,"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
US-Mexico Border,Sickness and lack of access to medicines,"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
Mediterranean,Drowning,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
North Africa,Unknown,"Hypothermia,Dehydration,Drowning,Vehicle accident,Shot,Hit by truck,Exhaustion,Plane stowaway,Violence,Sickness and lack of access to medicines,Hit by vehicle,Excessive Physical Abuse,Sexual abuse,Harsh weather/lack of adequate shelter,Suffocation,Starvation,Stabbed,Fall from steep slope,Unknown(decomposed remains),Fall from vehicle,Malnutrition,Murdered,Crushed in back of truck,Hyperthermia"
Mediterranean,Presumed drowning,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
Europe,Plane stowaway,"Shot,Suffocation,Vehicle accident,Exposure,Unknown(decomposed remains),Hit by train,Plane stowaway,Fall into a mountain crevice,Drowning,Hit by vehicle,Electrocution on railway,Hypothermia,Head injury,Violence,Fell from truck,Burned,Fall from vehicle,Fire,Sickness and lack of access to medicines,Murdered,Exhaustion,Rockslide,Crushed by bus,Hit by truck,Asphyxiation,Crushed in back of truck,Fall,Hypoglycemia,Train Accident,Electrocution,Fall from train,Suicide,Hit by car,Accident(non-vehicle),Crushed,Organ failure,Cardiac arrest,Fall onto train tracks,Harsh conditions,Hyperthermia"
Mediterranean,Presumed drowning,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
Mediterranean,Drowning,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
North Africa,Unknown,"Hypothermia,Dehydration,Drowning,Vehicle accident,Shot,Hit by truck,Exhaustion,Plane stowaway,Violence,Sickness and lack of access to medicines,Hit by vehicle,Excessive Physical Abuse,Sexual abuse,Harsh weather/lack of adequate shelter,Suffocation,Starvation,Stabbed,Fall from steep slope,Unknown(decomposed remains),Fall from vehicle,Malnutrition,Murdered,Crushed in back of truck,Hyperthermia"
Mediterranean,Presumed drowning,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
US-Mexico Border,Drowning,"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
Mediterranean,Drowning,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
Mediterranean,Drowning,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
Mediterranean,Drowning,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
Southeast Asia,Vehicle  accident,"Vehicle Accident,Drowning,Killed by landmine blast,Sickness and lack of access to medicines,Starvation,Dehydration,Excessive Physical Abuse,Sexual abuse,Harsh weather/lack of adequate shelter,Suffocation,Fall,Exhaustion,Violence,Shot"
South Asia,Unknown,"Vehicle Accident,Sickness and lack of access to medicines,Starvation,Harsh weather/lack of adequate shelter,Dehydration,Shot,Stabbed,Cardiac arrest,Suffocation,Sexual abuse,Killed by landmine blast,Excessive Physical Abuse,Harsh conditions"
Central America,Sickness,"Vehicle Accident,Fell from train,Hit by train,Injuries,Murder,Violence,Struck by train,Shot,Drowning,Fall from train,Suicide,Stabbed,Sickness and lack of access to medicines,Cardiac arrest,Tortured,Murdered,Heart attack,Hanging,Pneumonia,Dehydration,Hit by car,Unknown(decomposed remains),Train Accident,Electrocution on railway,Crushed by stones(train),Excessive Physical Abuse, Rape,Asphyxiation,Cervical cancer,Respiratory illness,Pulmonary edema and renal insufficiency,Poison,Murdered,Unknown(found dead next to train tracks),Unknown(skeletal remains),Hyperthermia,Digestive bleeding,Injuries from boat motor,Fall from boat"
Europe,Fall into a mountain crevice,"Shot,Suffocation,Vehicle accident,Exposure,Unknown(decomposed remains),Hit by train,Plane stowaway,Fall into a mountain crevice,Drowning,Hit by vehicle,Electrocution on railway,Hypothermia,Head injury,Violence,Fell from truck,Burned,Fall from vehicle,Fire,Sickness and lack of access to medicines,Murdered,Exhaustion,Rockslide,Crushed by bus,Hit by truck,Asphyxiation,Crushed in back of truck,Fall,Hypoglycemia,Train Accident,Electrocution,Fall from train,Suicide,Hit by car,Accident(non-vehicle),Crushed,Organ failure,Cardiac arrest,Fall onto train tracks,Harsh conditions,Hyperthermia"
Sub-Saharan Africa,Shot,"Shot,Vehicle accident,Drowning,Sickness and lack of access to medicine,Thirst,Unknown(mummified remains),Dehydration,Starvation,Suffocation,Harsh weather/lack of adequate shelter,Stabbed,Sexual abuse,Excessive Physical Abuse,Malnutrition,Violence while attempting to board boat,Killed by hippoptamus,Post-partum complications,Exposure"
Europe,Drowning,"Shot,Suffocation,Vehicle accident,Exposure,Unknown(decomposed remains),Hit by train,Plane stowaway,Fall into a mountain crevice,Drowning,Hit by vehicle,Electrocution on railway,Hypothermia,Head injury,Violence,Fell from truck,Burned,Fall from vehicle,Fire,Sickness and lack of access to medicines,Murdered,Exhaustion,Rockslide,Crushed by bus,Hit by truck,Asphyxiation,Crushed in back of truck,Fall,Hypoglycemia,Train Accident,Electrocution,Fall from train,Suicide,Hit by car,Accident(non-vehicle),Crushed,Organ failure,Cardiac arrest,Fall onto train tracks,Harsh conditions,Hyperthermia"
Europe,Vehicle  accident,"Shot,Suffocation,Vehicle accident,Exposure,Unknown(decomposed remains),Hit by train,Plane stowaway,Fall into a mountain crevice,Drowning,Hit by vehicle,Electrocution on railway,Hypothermia,Head injury,Violence,Fell from truck,Burned,Fall from vehicle,Fire,Sickness and lack of access to medicines,Murdered,Exhaustion,Rockslide,Crushed by bus,Hit by truck,Asphyxiation,Crushed in back of truck,Fall,Hypoglycemia,Train Accident,Electrocution,Fall from train,Suicide,Hit by car,Accident(non-vehicle),Crushed,Organ failure,Cardiac arrest,Fall onto train tracks,Harsh conditions,Hyperthermia"
Europe,Fell,"Shot,Suffocation,Vehicle accident,Exposure,Unknown(decomposed remains),Hit by train,Plane stowaway,Fall into a mountain crevice,Drowning,Hit by vehicle,Electrocution on railway,Hypothermia,Head injury,Violence,Fell from truck,Burned,Fall from vehicle,Fire,Sickness and lack of access to medicines,Murdered,Exhaustion,Rockslide,Crushed by bus,Hit by truck,Asphyxiation,Crushed in back of truck,Fall,Hypoglycemia,Train Accident,Electrocution,Fall from train,Suicide,Hit by car,Accident(non-vehicle),Crushed,Organ failure,Cardiac arrest,Fall onto train tracks,Harsh conditions,Hyperthermia"
US-Mexico Border,Unknown,"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
US-Mexico Border,Unknown,"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
Mediterranean,Presumed drowning,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
Mediterranean,Hypothermia,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
US-Mexico Border,Unknown (skeletal remains),"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
Mediterranean,Presumed drowning,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
Central America,Violence,"Vehicle Accident,Fell from train,Hit by train,Injuries,Murder,Violence,Struck by train,Shot,Drowning,Fall from train,Suicide,Stabbed,Sickness and lack of access to medicines,Cardiac arrest,Tortured,Murdered,Heart attack,Hanging,Pneumonia,Dehydration,Hit by car,Unknown(decomposed remains),Train Accident,Electrocution on railway,Crushed by stones(train),Excessive Physical Abuse, Rape,Asphyxiation,Cervical cancer,Respiratory illness,Pulmonary edema and renal insufficiency,Poison,Murdered,Unknown(found dead next to train tracks),Unknown(skeletal remains),Hyperthermia,Digestive bleeding,Injuries from boat motor,Fall from boat"
Mediterranean,Presumed drowning,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
Europe,Drowning,"Shot,Suffocation,Vehicle accident,Exposure,Unknown(decomposed remains),Hit by train,Plane stowaway,Fall into a mountain crevice,Drowning,Hit by vehicle,Electrocution on railway,Hypothermia,Head injury,Violence,Fell from truck,Burned,Fall from vehicle,Fire,Sickness and lack of access to medicines,Murdered,Exhaustion,Rockslide,Crushed by bus,Hit by truck,Asphyxiation,Crushed in back of truck,Fall,Hypoglycemia,Train Accident,Electrocution,Fall from train,Suicide,Hit by car,Accident(non-vehicle),Crushed,Organ failure,Cardiac arrest,Fall onto train tracks,Harsh conditions,Hyperthermia"
North Africa,Presumed drowning,"Hypothermia,Dehydration,Drowning,Vehicle accident,Shot,Hit by truck,Exhaustion,Plane stowaway,Violence,Sickness and lack of access to medicines,Hit by vehicle,Excessive Physical Abuse,Sexual abuse,Harsh weather/lack of adequate shelter,Suffocation,Starvation,Stabbed,Fall from steep slope,Unknown(decomposed remains),Fall from vehicle,Malnutrition,Murdered,Crushed in back of truck,Hyperthermia"
East Asia,Unknown,"Fall,Drowning"
Central America,Violence,"Vehicle Accident,Fell from train,Hit by train,Injuries,Murder,Violence,Struck by train,Shot,Drowning,Fall from train,Suicide,Stabbed,Sickness and lack of access to medicines,Cardiac arrest,Tortured,Murdered,Heart attack,Hanging,Pneumonia,Dehydration,Hit by car,Unknown(decomposed remains),Train Accident,Electrocution on railway,Crushed by stones(train),Excessive Physical Abuse, Rape,Asphyxiation,Cervical cancer,Respiratory illness,Pulmonary edema and renal insufficiency,Poison,Murdered,Unknown(found dead next to train tracks),Unknown(skeletal remains),Hyperthermia,Digestive bleeding,Injuries from boat motor,Fall from boat"
Middle East,Drowning,"Hypothermia,Drowning,Air strike,Vehicle Accident,Shot,Struck by artillery shells,Hit by vehicle,Unknown(skeletal remains),Struck by lightning bolt,Violence,Killed by mortar shell,Starvation,Dehydration,Harsh weather/lack of adequate shelter,Stabbed,Sickness and lack of access to medicines,Plane stowaway,Excessive Physical Abuse,Exposure,Malnutrition,Killed by landmine blast"
US-Mexico Border,Sickness,"Accident(fell down while climbing border wall),Drowning,Exposure,Hypothermia,Vehicle Accident,Sickness and lack of access to medicines,Shot,Suicide,Bacterial infection,Heart attack,Dehydration,Hit by vehicle,Hyperthermia,Suffocation,Multiple organ failure,Stabbed,Injuries after falling from border wall,Malnutrition,Hanging,Seizure,Pneumonia,Crushed,Murdered,Unknown(multiple blunt force injuries),Cardiac arrest,Coronary artery atherosclerosis,Asphyxiation,Heat stroke,Fall into a canyon,Violence,Hit by train,Fall from train,Train Accident,Fall from vehicle,Excessive Physical Abuse,Hypoglycemia,Electrocution,Envenomation,Fall from border fence"
Middle East,Air strike,"Hypothermia,Drowning,Air strike,Vehicle Accident,Shot,Struck by artillery shells,Hit by vehicle,Unknown(skeletal remains),Struck by lightning bolt,Violence,Killed by mortar shell,Starvation,Dehydration,Harsh weather/lack of adequate shelter,Stabbed,Sickness and lack of access to medicines,Plane stowaway,Excessive Physical Abuse,Exposure,Malnutrition,Killed by landmine blast"
Mediterranean,Unknown,"Drowning,Shot,Hypothermia,Fall from truck,Starvation,Collision,Sickness and lack of access to medicine,Cardiac arrest,Dehydration,Stabbed,Hit by truck,Suffocation,Fuel burns,Crushed,Gassed,Post-partum complications,Burned,Fall from border fence,Asphyxiation,Respiratory illness,Pulmonary edema,Violence,Hypoglycemia,Fall from boat,Vehicle Accident,Exposure,Harsh conditions"
Europe,Drowning,"Shot,Suffocation,Vehicle accident,Exposure,Unknown(decomposed remains),Hit by train,Plane stowaway,Fall into a mountain crevice,Drowning,Hit by vehicle,Electrocution on railway,Hypothermia,Head injury,Violence,Fell from truck,Burned,Fall from vehicle,Fire,Sickness and lack of access to medicines,Murdered,Exhaustion,Rockslide,Crushed by bus,Hit by truck,Asphyxiation,Crushed in back of truck,Fall,Hypoglycemia,Train Accident,Electrocution,Fall from train,Suicide,Hit by car,Accident(non-vehicle),Crushed,Organ failure,Cardiac arrest,Fall onto train tracks,Harsh conditions,Hyperthermia"
